MatchId,SummonerId,SummonerLevel,QueuesRanks,ChampionName,Mastery,LastTimeChampionPlayed,Summoner1,Summoner2,Role,Team
EUW1_6390029468,SaP-rxwLMn2BYH0hQsVJEA-6SLgtlCST__Q1SfVc474tcbM,89,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'PLATINUM', 'rank': 'IV'}]",Janna,67872,1683586130000,4,14,UTILITY,Blue
EUW1_6387237252,Zk6koFL_E3En9PJdgWJpnn3dUsNK_BND8xs3RnhAGH5JqbY,435,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'I'}]",Kayn,209987,1683407334000,12,4,TOP,Red
EUW1_6387237252,GUiMFWyuCAdSnyXcsSU0RFWAU090A8INNIoztx0tpypWuHM,139,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'PLATINUM', 'rank': 'IV'}]",Shaco,3878,1683143807000,11,4,JUNGLE,Red
EUW1_6387237252,CyL1MjY834I09IdMtpAwb7-zsDA_46vZD_l5xcJPR8_a74I,269,[],Vladimir,33490,1684256986000,6,4,MIDDLE,Red
EUW1_6387237252,Fd9HsbXbdijsyXMO5h4dZFB_7_83GG6MoGUMJ9jYQlFeZtA,456,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'IV'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'PLATINUM', 'rank': 'II'}]",Sivir,39626,1683934575000,4,3,BOTTOM,Red
EUW1_6387237252,Q_mm2vTfvYGbHdrxAAE9RhbMKVI52knTyX6vAOPuaPR8m6M,359,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'III'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'III'}]",Bard,982579,1685278595000,14,4,UTILITY,Red
EUW1_6387237252,WDrqQhejH3o_zMV0gXYPXwxjmz1G3IKwrlEOA0oCm0vzgb8,737,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'III'}]",Riven,1512073,1685656330000,14,4,TOP,Blue
EUW1_6387237252,l4_jQ8gs6yFH6gp9BgR93V0Gy73HBLT781_DF0xbY2i_EUo,393,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'PLATINUM', 'rank': 'IV'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'PLATINUM', 'rank': 'IV'}]",Sion,12140,1683143807000,11,4,JUNGLE,Blue
EUW1_6387237252,AAwUwEI1_SoraDMBnpu4MSGnkl3URGYqkDZ_XGbopOMcY2k,108,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'I'}]",Leblanc,64455,1685136178000,14,4,MIDDLE,Blue
EUW1_6387237252,svg4LIH7gd1E5NzYEt8JY7AsZ8F2Nj1AThvAJX3Lt1uQeCg,382,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'II'}]",Jinx,12148,1683143807000,4,7,BOTTOM,Blue
EUW1_6387237252,RYwfGHgVgkcklymhL8VIzhi1pTBh5S1TJt-rSuaS6UClYlw,653,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'PLATINUM', 'rank': 'IV'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'I'}]",Thresh,50573,1683143807000,4,14,UTILITY,Blue
