MatchId,TeamIdWin
EUW1_6426368125,Blue
EUW1_6426164432,Red
EUW1_6426088937,Blue
EUW1_6425475728,Blue
EUW1_6425414497,Red
EUW1_6425367905,Red
EUW1_6425353291,Red
EUW1_6424611406,Blue
EUW1_6424552280,Red
EUW1_6424458252,Red
EUW1_6424408815,Blue
EUW1_6424349222,Red
EUW1_6423922802,Red
EUW1_6423891735,Red
EUW1_6423818951,Blue
EUW1_6419673694,Blue
EUW1_6419621409,Blue
EUW1_6419560303,Red
EUW1_6430500187,Red
EUW1_6430465073,Blue
EUW1_6430399440,Red
EUW1_6430327283,Blue
EUW1_6430293068,Blue
EUW1_6430218086,Red
EUW1_6430187463,Red
EUW1_6430157576,Blue
EUW1_6429617992,Red
EUW1_6429542041,Red
EUW1_6429465977,Red
EUW1_6428920833,Red
EUW1_6428865322,Red
EUW1_6428848078,Blue
EUW1_6428790653,Red
EUW1_6428666105,Red
EUW1_6428620444,Red
EUW1_6428046919,Blue
EUW1_6427971354,Red
EUW1_6427891507,Blue
EUW1_6406009393,Red
EUW1_6405984647,Red
EUW1_6395971379,Red
EUW1_6395905396,Blue
EUW1_6392644300,Blue
EUW1_6391650943,Blue
EUW1_6391593356,Red
EUW1_6391553479,Blue
EUW1_6391416965,Red
EUW1_6390086425,Red
EUW1_6390029468,Blue
EUW1_6387237252,Red
EUW1_6387169299,Blue
EUW1_6386995253,Blue
EUW1_6385876151,Red
EUW1_6385829046,Red
EUW1_6380831543,Red
EUW1_6380801451,Red
EUW1_6377549827,Blue
EUW1_6422751896,Red
EUW1_6415089775,Red
EUW1_6414291430,Blue
EUW1_6414122376,Blue
EUW1_6411525507,Blue
EUW1_6408643191,Blue
EUW1_6408621707,Blue
EUW1_6398839067,Red
EUW1_6388628853,Red
EUW1_6429432992,Red
EUW1_6425992016,Blue
EUW1_6425739030,Blue
EUW1_6425246312,Blue
EUW1_6425206345,Blue
EUW1_6422630408,Red
EUW1_6418058977,Red
EUW1_6417995707,Blue
EUW1_6413356470,Blue
EUW1_6413253228,Red
EUW1_6413203651,Red
EUW1_6411371875,Red
EUW1_6411213532,Red
EUW1_6430863199,Blue
